week_start,cases
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,1
2022-02-06,0
2022-02-13,1
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,1
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,1
2022-06-12,2
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,1
2022-08-14,3
2022-08-21,2
2022-08-28,2
2022-09-04,2
2022-09-11,1
2022-09-18,7
2022-09-25,2
2022-10-02,1
2022-10-09,2
2022-10-16,2
2022-10-23,4
2022-10-30,13
2022-11-06,9
2022-11-13,8
2022-11-20,24
2022-11-27,10
2022-12-04,13
2022-12-11,6
2022-12-18,3
2022-12-25,0
2023-01-01,0
2023-01-08,1
2023-01-15,1
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,1
2023-02-26,0
2023-03-05,1
2023-03-12,1
2023-03-19,1
2023-03-26,1
2023-04-02,1
2023-04-09,2
2023-04-16,0
2023-04-23,0
2023-04-30,1
2023-05-07,0
2023-05-14,2
2023-05-21,2
2023-05-28,2
2023-06-04,1
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,2
2023-07-30,0
2023-08-06,1
2023-08-13,0
2023-08-20,1
2023-08-27,0
2023-09-03,0
2023-09-10,3
2023-09-17,1
2023-09-24,5
2023-10-01,5
2023-10-08,1
2023-10-15,1
2023-10-22,0
2023-10-29,2
2023-11-05,1
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,2
2023-12-10,2
2023-12-17,3
2023-12-24,11
2023-12-31,4
2024-01-07,4
2024-01-14,2
2024-01-21,2
2024-01-28,5
2024-02-04,3
2024-02-11,14
2024-02-18,9
2024-02-25,6
2024-03-03,3
2024-03-10,12
2024-03-17,40
2024-03-24,8
2024-03-31,9
2024-04-07,4
2024-04-14,3
2024-04-21,4
2024-04-28,0
2024-05-05,4
2024-05-12,5
2024-05-19,5
2024-05-26,6
2024-06-02,0
2024-06-09,4
2024-06-16,4
2024-06-23,3
2024-06-30,7
2024-07-07,13
2024-07-14,11
2024-07-21,7
2024-07-28,12
2024-08-04,7
2024-08-11,9
2024-08-18,8
2024-08-25,11
2024-09-01,10
2024-09-08,3
2024-09-15,3
2024-09-22,1
2024-09-29,2
2024-10-06,1
2024-10-13,3
2024-10-20,1
2024-10-27,3
2024-11-03,4
2024-11-10,3
2024-11-17,0
2024-11-24,2
2024-12-01,0
2024-12-08,0
2024-12-15,0
2024-12-22,1
2024-12-29,2
2025-01-05,1
2025-01-12,1
2025-01-19,11
2025-01-26,19
2025-02-02,27
2025-02-09,65
2025-02-16,85
2025-02-23,75
2025-03-02,90
2025-03-09,84
2025-03-16,103
2025-03-23,91
2025-03-30,115
2025-04-06,74
2025-04-13,86
2025-04-20,48
2025-04-27,49
2025-05-04,35
2025-05-11,25
2025-05-18,55
2025-05-25,41
2025-06-01,24
2025-06-08,20
2025-06-15,29
2025-06-22,35
2025-06-29,18
2025-07-06,15
2025-07-13,13
2025-07-20,17
2025-07-27,13
2025-08-03,11
2025-08-10,21
2025-08-17,38
2025-08-24,36
2025-08-31,22
2025-09-07,28
2025-09-14,22
2025-09-21,17
2025-09-28,23
2025-10-05,21
2025-10-12,27
2025-10-19,35
2025-10-26,31
2025-11-02,41
2025-11-09,29
2025-11-16,55
2025-11-23,45
2025-11-30,67
2025-12-07,57
2025-12-14,59
2025-12-21,53
2025-12-28,176
2026-01-04,212
2026-01-11,291
2026-01-18,162
2026-01-25,157
2026-02-01,70
2026-02-08,18